R-MMU-9713672.1,cAMP:olfactory CNG channel translocates Na+ and Ca2+ from the extracellular region to the cytosol,R-MMU-9713709.1,Cngb1b [plasma membrane],Q80VQ4,UniProt:Q80VQ4 Cngb1
R-MMU-9713672.1,cAMP:olfactory CNG channel translocates Na+ and Ca2+ from the extracellular region to the cytosol,R-MMU-9713726.1,Cnga4 [plasma membrane],Q3UW12,UniProt:Q3UW12 Cnga4
R-MMU-9713672.1,cAMP:olfactory CNG channel translocates Na+ and Ca2+ from the extracellular region to the cytosol,R-MMU-9713722.1,Cnga2 [plasma membrane],Q62398,UniProt:Q62398 Cnga2
R-RNO-9713740.1,cAMP:olfactory CNG channel translocates Na+ and Ca2+ from the extracellular region to the cytosol,R-RNO-9713702.1,Cnga4 [plasma membrane],Q64359,UniProt:Q64359 Cnga4
R-RNO-9713740.1,cAMP:olfactory CNG channel translocates Na+ and Ca2+ from the extracellular region to the cytosol,R-RNO-9713670.1,Cngb1 [plasma membrane],A0A0G2JXF2,UniProt:A0A0G2JXF2 Cngb1
R-RNO-9713740.1,cAMP:olfactory CNG channel translocates Na+ and Ca2+ from the extracellular region to the cytosol,R-RNO-9713707.1,Cnga2 [plasma membrane],Q00195,UniProt:Q00195 Cnga2
R-HSA-9712190.1,cAMP:olfactory CNG channel translocates Na+ and Ca2+ from the extracellular region to the cytosol,R-HSA-2671917.1,CNGA4 [plasma membrane],Q8IV77,UniProt:Q8IV77 CNGA4
R-HSA-9712190.1,cAMP:olfactory CNG channel translocates Na+ and Ca2+ from the extracellular region to the cytosol,R-HSA-2671933.1,CNGA2 [plasma membrane],Q16280,UniProt:Q16280 CNGA2
R-HSA-9712190.1,cAMP:olfactory CNG channel translocates Na+ and Ca2+ from the extracellular region to the cytosol,R-HSA-9712207.1,CNGB1b [plasma membrane],Q14028,UniProt:Q14028-3 CNGB1
R-MMU-9717444.1,"Scn3a:Scn2b,4b transports Na+ from the extracellular region to the cytosol",R-MMU-9717378.1,Scn3a [plasma membrane],A2ASI5,UniProt:A2ASI5 Scn3a
R-HSA-9717374.1,"SCN3A:SCN2B,4B transports Na+ from the extracellular region to the cytosol",R-HSA-443375.1,SCN3A [plasma membrane],Q9NY46,UniProt:Q9NY46 SCN3A
R-MMU-9717433.1,Trpm5 transports Na+ from the extracellular region to the cytosol,R-MMU-9717430.1,Trpm5 [plasma membrane],Q9JJH7,UniProt:Q9JJH7 Trpm5
R-HSA-9717395.1,TRPM5 transports Na+ from the extracellular region to the cytosol,R-HSA-937284.1,TRPM5 [plasma membrane],Q9NZQ8,UniProt:Q9NZQ8 TRPM5
R-MMU-9717432.1,Trpm4 transports Na+ from the extracellular region to the cytosol,R-MMU-9717435.1,Trpm4 [plasma membrane],Q7TN37,UniProt:Q7TN37 Trpm4
R-HSA-9717383.1,TRPM4 transports Na+ from the extracellular region to the cytosol,R-HSA-937288.1,TRPM4 [plasma membrane],Q8TD43,UniProt:Q8TD43 TRPM4
R-MMU-9717440.1,"Scn9a:Scn1b,2b,4b transports Na+ from the extracellular region to the cytosol",R-MMU-9717370.1,Scn9a [plasma membrane],Q62205,UniProt:Q62205 Scn9a
R-HSA-9717382.1,"SCN9A:SCN1B,2B,4B transports Na+ from the extracellular region to the cytosol",R-HSA-443374.1,SCN9A [plasma membrane],Q15858,UniProt:Q15858 SCN9A
R-MMU-9717445.1,"Scn2a:Scn1b,2b,4b transports Na+ from the extracellular region to the cytosol",R-MMU-9717375.1,Scn2a [plasma membrane],B1AWN6,UniProt:B1AWN6 Scn2a
R-HSA-9717396.1,"SCN2A:SCN1B,2B,4B transports Na+ from the extracellular region to the cytosol",R-HSA-443377.1,SCN2A [plasma membrane],Q99250,UniProt:Q99250 SCN2A
R-PFA-8865637.1,MFSD2A transports LPC from extracellular region to plasma membrane,R-PFA-5216203.1,MFSD2A [plasma membrane],Q8I3H5,UniProt:Q8I3H5
R-DDI-8865637.1,MFSD2A transports LPC from extracellular region to plasma membrane,R-DDI-5216203.1,MFSD2A [plasma membrane],Q54SX3,UniProt:Q54SX3
